age_band,level,prob
19-29,0,0.9528
19-29,1,0.0472
30-44,0,0.9522
30-44,1,0.0478
45-59,0,0.9638
45-59,1,0.0362
60-74,0,0.9695
60-74,1,0.0305
75+,0,0.9775
75+,1,0.0225
