age_band,level,prob
19-29,1,0.5157
19-29,3,0.1173
19-29,4,0.2235
19-29,5,0.1434
30-44,1,0.5041
30-44,3,0.1667
30-44,4,0.2062
30-44,5,0.1231
45-59,1,0.466
45-59,3,0.2356
45-59,4,0.212
45-59,5,0.0864
60-74,1,0.4813
60-74,3,0.262
60-74,4,0.173
60-74,5,0.0837
75+,1,0.3942
75+,3,0.2464
75+,4,0.2238
75+,5,0.1357
