age_band,level,prob
19-29,0,0.7821
19-29,1,0.2179
30-44,0,0.7641
30-44,1,0.2359
45-59,0,0.806
45-59,1,0.194
60-74,0,0.6062
60-74,1,0.3938
75+,0,0.982
75+,1,0.018
