pair,marginal_spearman,within_age_abs_spearman
FV-DL,0.1249,0.0026
FV-AD,-0.0329,0.001
FV-SI,0.0079,0.0022
FV-PV,0.0083,0.0013
FV-RP,-0.0248,0.0015
DL-AD,-0.1766,0.0016
DL-SI,-0.0067,0.0018
DL-PV,0.0279,0.0011
DL-RP,-0.0149,0.0019
AD-SI,0.0015,0.0011
AD-PV,-0.0115,0.0015
AD-RP,0.0219,0.0019
SI-PV,0.0005,0.0014
SI-RP,-0.0112,0.0021
PV-RP,0.0007,0.0007
