attr,synthetic_residual_V,source_survey_V,source_CI95,n,verdict
authority_deference,0.145,0.077,"[0.042,0.164]",974,reproduces (within source CI)
social_isolation,0.084,0.025,"[0.011,0.072]",2708,AMPLIFIES (synthetic > source CI)
