dimension,cohort_share,population_share,lift
High financial vulnerability,0.4219,0.4487,0.94
Low digital literacy,0.9158,0.4153,2.21
High authority deference,0.5848,0.4021,1.45
High social isolation,0.3078,0.3118,0.99
Prior victimization,0.0266,0.038,0.7
Would not report,0.7984,0.7634,1.05
